video,frame,f1x1,f1y1,f1x2,f1y2,f2x1,f2y1,f2x2,f2y2
task_kam4_gh149681,4139,440,410,787,1074,263,399,612,1073
task_kam4_gh149681,4154,458,458,753,1075,234,536,622,1073
task_kam4_gh149681,4169,375,440,787,1075,202,510,615,1080
task_kam4_gh149681,4170,474,447,786,1079,249,453,691,1080
task_kam4_gh149681,4171,197,450,731,1080,458,450,798,1078
task_kam4_gh149681,4172,316,449,802,1080,257,445,690,1080
task_kam4_gh149681,4328,1074,416,1255,897,904,426,1099,874
task_kam4_gh149681,4341,1084,430,1236,919,887,422,1084,872
task_kam4_gh149681,4342,1074,428,1233,925,884,418,1075,873
task_kam4_gh149681,4343,876,417,1075,873,1073,428,1234,916
task_kam4_gh149681,4344,869,419,1067,872,1078,428,1238,919
task_kam4_gh149681,4359,824,442,1046,965,1020,407,1209,918
task_kam4_gh149681,4403,1056,423,1195,876,891,425,1052,870
task_kam4_gh149681,4404,1057,419,1206,878,893,424,1052,870
task_kam4_gh149681,4455,1275,408,1541,866,1060,394,1331,871
task_kam4_gh149681,4466,1090,417,1299,873,1217,396,1529,854
task_kam4_gh149681,4467,1091,419,1316,875,1218,402,1520,862
task_kam4_gh149681,4480,1094,405,1341,874,1277,402,1502,848
task_kam4_gh149681,4577,648,451,894,1076,891,487,1062,871
task_kam4_gh149681,4588,570,462,865,1076,754,499,1038,875
task_kam4_gh149681,4589,566,458,838,1079,763,504,1033,871
task_kam4_gh149681,4590,561,462,864,1077,771,486,984,883
task_kam4_gh149681,4595,523,461,834,1077,658,450,964,989
task_kam4_gh149681,4596,512,450,852,1080,679,450,961,1057
task_kam4_gh149681,4779,908,418,1100,870,993,443,1280,1078
task_kam4_gh149681,4780,907,417,1099,870,992,447,1280,1079
task_kam4_gh149681,4783,903,417,1102,867,972,447,1268,1076
task_kam4_gh149681,4953,983,444,1124,873,838,439,1032,859
task_kam4_gh149681,4954,984,454,1136,874,840,439,1027,860
task_kam4_gh149681,4955,987,451,1133,874,841,440,1037,860
task_kam4_gh149681,4956,973,448,1132,873,850,448,1016,864
task_kam4_gh149681,4963,815,450,984,858,983,489,1146,877
task_kam4_gh149681,4964,958,496,1152,903,814,442,987,859
task_kam4_gh149681,4966,947,506,1152,892,806,444,983,857
task_kam4_gh149681,4984,932,498,1113,871,781,413,980,898
task_kam4_gh149681,4985,777,412,996,1035,912,470,1113,869
task_kam4_gh149681,4987,898,425,1133,955,742,383,974,927
task_kam4_gh149681,5056,700,410,982,902,949,449,1280,910
task_kam4_gh149681,5057,695,410,982,895,959,434,1273,898
task_kam4_gh149681,5172,835,431,980,819,910,418,1042,775
task_kam4_gh149681,5173,830,431,963,818,913,415,1045,771
task_kam4_gh149681,5174,823,428,970,801,913,415,1047,769
task_kam4_gh149681,5326,1126,405,1359,865,1320,425,1629,845
task_kam4_gh149681,5353,1281,409,1597,984,1126,415,1436,879
task_kam4_gh149681,5354,1278,406,1598,974,1125,412,1444,882
task_kam4_gh149681,5441,305,455,733,1080,610,444,960,1075
task_kam4_gh149681,5442,558,443,943,1075,308,456,736,1080
task_kam4_gh149681,5443,287,462,732,1080,560,441,941,1074
task_kam4_gh149681,5478,513,399,788,938,284,402,599,936
task_kam4_gh149681,5479,521,401,788,938,293,402,585,901
task_kam4_gh149681,5491,315,510,726,946,592,390,874,918
task_kam4_gh149681,5492,609,389,895,917,400,480,736,921
task_kam4_gh149681,5493,644,396,917,919,428,483,731,926
task_kam4_gh149681,5494,444,481,732,917,659,406,947,934
task_kam4_gh149681,5495,444,443,734,916,670,414,973,937
task_kam4_gh149681,5499,692,427,1020,920,499,524,735,915
task_kam4_gh149681,5529,566,405,878,945,369,417,604,900
task_kam4_gh149681,5530,565,429,881,946,384,416,607,910
task_kam4_gh149681,5531,564,423,879,948,385,406,614,923
task_kam4_gh149681,5532,404,405,618,922,556,422,880,945
task_kam4_gh149681,5533,419,406,644,918,552,425,879,941
task_kam4_gh149681,5534,426,407,646,925,548,428,879,943
task_kam4_gh149681,5694,641,394,780,729,754,414,1003,753
task_kam4_gh149681,5695,755,393,983,753,632,404,771,726
task_kam4_gh149681,5828,537,395,821,872,453,477,681,948
task_kam4_gh149681,5829,532,434,818,865,442,447,687,947
task_kam4_gh149681,6203,653,401,868,1073,894,485,1115,868
task_kam4_gh149681,6235,1232,379,1511,1075,347,482,734,1071
task_kam4_gh149681,6463,513,412,1057,1075,881,419,1226,1077
task_kam4_gh149681,6464,518,429,1084,1074,886,422,1240,922
task_kam4_gh149681,6465,961,421,1250,910,540,462,926,1072
task_kam4_gh149681,6530,807,425,1006,847,902,452,1250,911
task_kam4_gh149681,6738,432,470,751,1076,1093,405,1411,1078
task_kam4_gh149681,6740,460,473,745,1076,1090,411,1423,1078
task_kam4_gh149681,6769,941,438,1305,1079,434,495,720,1043
task_kam4_gh149681,6770,935,434,1306,1079,404,497,724,1065
task_kam4_gh149681,6947,975,455,1190,978,799,423,1002,978
task_kam4_gh149681,7126,1041,413,1235,955,1155,428,1462,1077
task_kam4_gh149681,7139,1124,406,1425,1077,1044,426,1217,877
task_kam4_gh149681,7140,1077,412,1427,1077,1047,428,1214,874
task_kam4_gh149681,7157,1063,410,1437,1078,1053,432,1241,877
task_kam4_gh149681,7211,1086,445,1360,1077,1020,437,1212,876
task_kam4_gh149681,7212,1081,441,1353,1077,1019,499,1173,879
task_kam4_gh149681,7213,1076,414,1341,1077,1019,513,1141,877
task_kam4_gh149681,7214,1032,425,1334,1078,1018,495,1172,879
task_kam4_gh149681,7304,403,497,685,1073,771,494,1155,1074
task_kam4_gh149681,7305,399,494,721,1073,771,472,1150,1075
task_kam4_gh149681,7313,1100,514,1422,1080,856,507,1423,1075
task_kam4_gh149681,7338,871,374,1113,1072,1016,480,1337,1080
task_kam4_gh149681,7339,883,406,1176,1077,1036,477,1352,1079
task_kam4_gh149681,7341,896,475,1368,1078,898,413,1159,1080
task_kam4_gh149681,7491,720,412,951,871,927,429,1189,870
task_kam4_gh149681,7492,718,406,958,870,931,431,1183,875
task_kam4_gh149681,7493,718,406,957,870,930,450,1178,869
task_kam4_gh149681,7496,718,410,955,870,928,441,1174,876
task_kam4_gh149681,7498,718,411,959,869,928,413,1176,876
task_kam4_gh149681,7499,927,419,1170,876,718,410,959,869
task_kam4_gh149681,7528,892,421,1161,874,683,416,960,872
task_kam4_gh149681,7529,917,419,1163,874,683,415,953,872
task_kam4_gh149681,7530,917,424,1160,874,683,411,949,873
task_kam4_gh149681,7531,912,426,1157,872,684,413,949,875
task_kam4_gh149681,7532,902,427,1152,872,681,408,946,875
task_kam4_gh149681,7533,679,406,938,874,899,427,1150,868
task_kam4_gh149681,7534,677,401,929,875,892,424,1151,868
task_kam4_gh149681,7607,816,414,968,837,874,419,1078,909
task_kam4_gh149681,7725,1181,366,1308,829,997,443,1142,864
task_kam4_gh149681,7727,1192,368,1310,811,1008,361,1291,856
task_kam4_gh149681,7793,1302,383,1485,815,1092,393,1287,804
task_kam4_gh149681,7878,1044,415,1286,896,997,403,1160,802
task_kam4_gh149681,7879,1046,423,1279,906,999,402,1158,806
task_kam4_gh149681,7880,1044,419,1255,904,997,398,1150,806
task_kam4_gh149681,7881,1037,417,1248,922,995,396,1143,804
task_kam4_gh149681,8021,937,419,1060,843,760,455,975,956
task_kam4_gh149681,8022,935,420,1058,844,761,458,978,955
task_kam4_gh149681,8029,768,454,1014,950,936,440,1062,839
task_kam4_gh149681,8030,772,452,1031,942,936,441,1063,838
task_kam4_gh149681,8161,929,407,1114,856,682,392,956,834
task_kam4_gh149681,8162,930,401,1115,856,689,392,962,831
task_kam4_gh149681,8163,932,399,1116,857,693,390,961,830
task_kam4_gh149681,8253,894,420,1087,854,824,397,954,775
task_kam4_gh149681,8254,824,391,954,756,885,424,1076,850
task_kam4_gh149681,8255,823,386,954,780,891,427,1070,847
task_kam4_gh149681,8256,825,395,957,792,894,368,1069,840
task_kam4_gh149681,8258,821,389,969,786,891,366,1056,848
task_kam4_gh149681,8362,930,411,1063,833,1025,410,1128,770
task_kam4_gh149681,8363,930,411,1064,835,1029,408,1135,772
task_kam4_gh149681,8364,931,412,1071,838,1031,418,1137,772
task_kam4_gh149681,8365,1040,421,1136,773,930,413,1083,840
task_kam4_gh149681,8366,930,412,1065,846,1044,436,1141,771
task_kam4_gh149681,8497,1189,420,1438,909,992,384,1269,876
task_kam4_gh149681,8498,1189,417,1429,906,991,397,1270,881
task_kam4_gh149681,8499,1161,419,1425,915,993,406,1284,884
task_kam4_gh149681,8504,1118,394,1424,854,989,382,1349,887
task_kam4_gh149681,8505,987,385,1351,886,1135,387,1419,859
task_kam4_gh149681,8506,985,394,1358,884,1153,334,1407,868
task_kam4_gh149681,8507,986,389,1364,884,1139,325,1400,875
task_kam4_gh149681,8676,909,399,1205,863,689,404,928,867
task_kam4_gh149681,8678,861,411,1206,870,700,406,933,863
task_kam4_gh149681,8851,794,417,973,1059,869,422,1014,874
task_kam4_gh149681,8852,861,426,1013,875,790,417,968,1062
task_kam4_gh149681,8853,853,433,1013,874,787,422,977,1061
task_kam4_gh149681,8880,647,418,874,1075,845,426,989,870
task_kam4_gh149681,8881,647,422,876,1075,846,426,986,867
task_kam4_gh149681,8882,644,418,885,1075,847,423,986,868
task_kam4_gh149681,8883,643,414,880,1075,834,420,988,874
task_kam4_gh149681,8891,627,425,821,1059,835,444,1002,867
task_kam4_gh149681,8892,611,447,858,1074,819,445,1004,866
task_kam4_gh149681,8893,597,432,841,1073,797,444,1004,870
task_kam4_gh149681,8895,599,430,794,1074,863,442,1008,868
task_kam4_gh149681,8896,852,442,1006,865,590,427,833,1074
task_kam4_gh149681,8897,853,433,1005,871,568,400,844,1074
task_kam4_gh149681,8898,796,426,1004,870,557,396,855,1073
task_kam4_gh149681,8932,459,410,727,1064,751,403,960,895
task_kam4_gh149681,8933,738,398,959,911,459,410,726,1061
task_kam4_gh149681,8942,655,393,940,1039,414,446,750,1040
task_kam4_gh149681,8943,414,453,753,1039,667,391,940,1040
